Name,Team,Primary Position,Year,USG%,PPG,REB/G,AST/G,3PA/G,AST/TOV,STL/40,BLK/40,DRB/40,ORB/40,TRB/40,FG%,ATR%,FT%,3P%,Open Market Low,Open Market High,CDI,DDS,SEI,SMI,RIS,Playmaker Tags,Shooting/Scoring Tags
Aiden Sherrell,Alabama (Men),Wing,Sophomore,18.9,11.0,6.1,1.1,2.2,1.2,0.9,3.9,6.5,3.9,10.4,55.10%,15.3%,70.70%,33.30%,,,,,,,,Non-Passer,Non-Shooter
Cameron Boozer,Duke (Men),Wing,FRESHMAN,29.5,22.7,10.2,4.1,3.6,1.9,1.8,0.6,8.5,4.0,12.5,58.30%,28.7%,78.00%,40.70%,,,,,,,,"Secondary Playmaker, Ball Dominant","Shooter, Volume Scorer, Efficient Scorer"
Isaiah Evans,Duke (Men),Guard,Sophomore,24.9,15.0,2.9,1.3,7.4,1.2,1.2,1.0,3.8,0.4,4.2,43.30%,31.0%,86.30%,37.10%,,,,,,,,Non-Passer,Shooter
Patrick Ngongba,Duke (Men),Big,Sophomore,21.5,10.7,6.0,1.9,1.0,1.5,1.1,2.0,6.8,4.1,10.7,60.20%,24.1%,69.40%,27.60%,,,,,,,,Non-Passer,Efficient Scorer
Caleb Foster,Duke (Men),Guard,Junior,17.6,8.5,3.6,2.8,3.1,2.5,0.5,0.2,4.7,0.9,5.7,44.20%,43.7%,58.50%,40.20%,,,,,,,,"High-IQ Passer, Low-Mistake Handler","Elite Shooter, Low-USG Finisher"
Cayden Boozer,Duke (Men),Guard,Freshman,16.2,6.5,2.0,2.8,1.6,2.3,1.5,0.2,3.3,0.6,3.9,50.00%,58.3%,78.20%,29.40%,,,,,,,,Non-Passer,Non-Shooter
Dame Sarr,Duke (Men),Guard,Freshman,16.5,6.2,3.6,1.0,3.4,0.9,1.8,0.5,5.3,1.3,6.6,40.20%,21.7%,52.00%,33.30%,,,,,,,,Non-Passer,Non-Shooter
Nikolas Khamenia,Duke (Men),Guard,Freshman,15.2,5.4,3.2,1.1,2.6,1.2,1.3,0.2,5.0,1.9,6.9,44.90%,25.6%,64.10%,32.90%,,,,,,,,Non-Passer,Non-Shooter
Maliq Brown,Duke (Men),Wing,Senior,12.8,4.9,5.0,1.9,0.9,1.7,4.0,1.2,6.2,3.8,10.0,61.20%,27.5%,40.70%,17.20%,,,,,,,,Non-Passer,Efficient Scorer
Darren Harris,Duke (Men),Guard,Sophomore,17.5,3.8,0.8,0.4,2.1,2.0,1.6,0.0,1.6,1.6,3.2,37.80%,33.3%,76.30%,34.90%,,,,,,,,Non-Passer,Non-Shooter
Jack Scott,Duke (Men),Guard,Senior,8.8,0.6,0.9,0.1,0.1,1.0,1.4,0.0,5.5,5.5,12.4,50.00%,10.0%,0.00%,100.00%,,,,,,,,Non-Passer,"Elite Shooter, Low-USG Finisher"
Cameron Sheffield,Duke (Men),Guard,Senior,14.8,0.6,0.5,0.1,0.5,0.1,0.0,0.0,5.5,1.4,6.9,25.00%,16.7%,0.00%,28.60%,,,,,,,,Non-Passer,Non-Shooter
Ifeanyi Ufochukwu,Duke (Men),Big,Senior,14.8,0.8,0.6,0.0,0.0,0.0,0.0,1.8,1.8,3.6,5.5,50.00%,0.0%,0.00%,0.00%,,,,,,,,Non-Passer,Non-Shooter
Dai Dai Ames,California (Men),Guard,Junior,26.8,17.2,2.0,2.2,4.3,1.2,0.9,0.3,2.1,0.4,2.5,46.60%,52.4%,86.20%,38.10%,,,,,,,,Ball Dominant,Shooter
John Camden,California (Men),Wing,Senior,19.5,13.8,4.8,1.6,6.6,1.6,1.0,0.3,4.8,1.3,6.1,45.00%,25.0%,80.90%,39.80%,,,,,,,,Non-Passer,"Elite Shooter, Low-USG Finisher"
Chris Bell,California (Men),Wing,Senior,22.8,13.4,2.5,0.6,5.3,0.5,0.7,0.9,3.0,0.6,3.6,44.00%,19.4%,85.20%,37.60%,,,,,,,,Non-Passer,Shooter
Justin Pippen,California (Men),Guard,Sophomore,26.5,14.3,3.9,4.5,5.2,1.9,2.3,0.8,4.1,0.9,5.0,37.20%,53.6%,82.20%,32.50%,,,,,,,,"Secondary Playmaker, Ball Dominant",Non-Shooter
Lee Dort,California (Men),Wing,Senior,16.3,8.3,8.0,0.9,0.0,1.0,0.8,1.5,9.8,3.7,13.5,60.30%,10.1%,64.50%,0.00%,,,,,,,,Non-Passer,Efficient Scorer
Semetri (TT) Carr,California (Men),Guard,Freshman,14.1,3.8,2.5,2.0,1.1,3.3,1.0,0.2,4.7,1.7,6.1,35.20%,44.4%,75.40%,24.20%,,,,,,,,"High-IQ Passer, Low-Mistake Handler",Non-Shooter
Milos Ilic,California (Men),Wing,Senior,11.7,3.6,4.4,1.3,0.2,1.4,1.2,0.5,7.0,3.3,10.3,53.90%,22.8%,71.40%,28.60%,,,,,,,,Non-Passer,Non-Shooter
DJ Campbell,California (Men),Guard,Senior,14.9,3.1,1.9,0.7,1.2,1.2,0.8,0.3,4.0,1.1,5.1,34.70%,26.9%,43.80%,36.00%,,,,,,,,Non-Passer,Shooter
Nolan Dorsey,California (Men),Guard,Senior,10.7,2.0,1.5,0.3,1.2,1.0,1.1,0.0,4.6,1.1,5.7,40.00%,16.7%,66.70%,30.60%,,,,,,,,Non-Passer,Non-Shooter
Mantas Kocanas,California (Men),Big,Sophomore,15.6,1.8,1.5,0.1,0.4,0.2,1.1,0.0,6.3,2.3,8.6,51.70%,6.2%,40.00%,37.50%,,,,,,,,Non-Passer,Shooter
Rytis Petraitis,California (Men),Guard,Senior,14.3,5.3,4.0,1.0,0.7,1.7,1.4,2.1,7.3,2.1,9.5,58.30%,20.0%,63.60%,40.00%,,,,,,,,Non-Passer,"Elite Shooter, Low-USG Finisher, Efficient Scorer"
Dhiaukuei Manyiel Dut,California (Men),Wing,Sophomore,9.4,0.5,1.0,0.1,0.1,0.5,1.0,6.2,7.2,3.1,10.3,40.00%,9.1%,50.00%,0.00%,,,,,,,,Non-Passer,Non-Shooter
Sammie Yeanay,California (Men),Wing,Sophomore,16.3,0.7,0.9,0.3,0.4,3.0,0.0,2.7,5.5,2.7,8.2,25.00%,25.0%,50.00%,0.00%,,,,,,,,"High-IQ Passer, Low-Mistake Handler",Non-Shooter
Luke Butler,California (Men),Guard,Freshman,10.2,0.0,0.3,0.0,0.0,0.0,10.0,0.0,10.0,10.0,15.0,0.00%,0.0%,0.00%,0.00%,,,,,,,,Non-Passer,Non-Shooter
BJ Fisher,California (Men),Guard,Sophomore,19.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0%,0.00%,0.00%,,,,,,,,Non-Passer,Non-Shooter
Stephon Marbury II,California (Men),Guard,Sophomore,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0%,0.00%,0.00%,,,,,,,,Ball Dominant,Volume Scorer
